sale_value,stocks_purchased,date_purchased,date_sold,gain_loss,gain_loss_perc
1000,"TEST, TEST",2018-01-01,2018-01-01,9999,9999
1014.0120907738562,"BABA, CMCSA, SPWR",2017-09-26,2017-10-11,14.012090773856244,1.4012090773856245
1079.0746381864471,"CMCSA, GPRO, SPWR",2017-10-17,2017-11-01,65.0625474125909,6.416348286630151
1080.419013634972,"GPRO, GILD, T",2017-11-07,2017-11-22,1.3443754485249428,0.12458595549834948
1101.978458631254,"T, GILD, GE",2017-11-29,2017-12-14,21.559444996281854,1.9954707131399927
1140.2554436349328,"GE, NVDA, WMT",2017-12-20,2018-01-04,38.276985003678874,3.4734785152898517
1090.2999140219572,"GPRO, JD, SPWR",2018-01-12,2018-01-27,-49.955529612975624,-4.3810823172855224
1224.9945468427413,"JD, SPWR, TWTR",2018-02-05,2018-02-20,134.69463282078414,12.353906580063398
1234.3658270606381,"NFLX, NVDA, SPWR",2018-02-27,2018-03-14,9.37128021789681,0.7650058722342907
1122.6018103046426,"TSLA, CMCSA, FB",2018-03-20,2018-04-04,-111.7640167559955,-9.054367376820219
1134.2557103627046,"GE, NFLX, TSLA",2018-04-11,2018-04-26,11.653900058061936,1.0381152026558194
1220.8940135286286,"NFLX, NVDA, TWTR",2018-05-02,2018-05-17,86.63830316592407,7.6383396067029246
1329.757947046311,"T, TMUS, TWTR",2018-05-23,2018-06-07,108.86393351768243,8.916739070825962
1263.603066133789,"BABA, GE, JD",2018-06-14,2018-06-29,-66.154880912522,-4.97495661217643
1247.7488283309528,"ADBE, JD, GE",2018-07-06,2018-07-21,-15.854237802836224,-1.2546849740832768
1192.9140855355668,"JD, KR, TWTR",2018-07-27,2018-08-11,-54.83474279538609,-4.3946939921182375
1274.13087186563,"JD, GPRO, NFLX",2018-08-17,2018-09-01,81.21678633006331,6.8082678639510315
1314.795295867381,"GE, NFLX, TSLA",2018-09-10,2018-09-25,40.66442400175083,3.1915421641270223
1231.1302061810184,"FB, GE, F",2018-10-01,2018-10-16,-83.66508968636253,-6.363354808869164
1325.139802797084,"JD, SPWR, TSLA",2018-10-22,2018-11-06,94.00959661606566,7.636040131586458
1279.010214638516,"GE, TSLA, F",2018-11-12,2018-11-27,-46.12958815856814,-3.4811110541845123
1210.8338750968758,"GE, TWTR, F",2018-12-04,2018-12-19,-68.17633954164012,-5.330398362839397
1336.0389881288875,"SPWR, T, F",2018-12-27,2019-01-11,125.2051130320117,10.340403882571781
1422.5516680712499,"GE, SBUX, F",2019-01-18,2019-02-02,86.51267994236241,6.47531102842461
1477.7744798339609,"FB, GE, NFLX",2019-02-11,2019-02-26,55.22281176271099,3.881954729811972
1466.6490504820458,"AMAT, FB, GE",2019-03-05,2019-03-20,-11.125429351915045,-0.7528502828905985
1589.5511080730348,"GPRO, SPWR, TSLA",2019-03-26,2019-04-10,122.90205759098899,8.379786394747576
1486.095620455034,"NVDA, TSLA",2019-04-16,2019-05-01,-103.45548761800092,-6.508471925977699
1311.4791509924698,"GE, NVDA, TSLA",2019-05-08,2019-05-23,-174.61646946256405,-11.750015749935223
1310.1761601669168,"GPRO, TSLA, TWTR",2019-05-30,2019-06-14,-1.3029908255530245,-0.09935276703155961
1297.244382816275,"GE, GPRO, TSLA",2019-06-20,2019-07-05,-12.931777350641823,-0.9870258476535179
