"","DAU","Type","total_acres","refuge_acres","percent_disturbed"
"1","D29","Servere_Winter",84582.8340721081,60873.4819101454,0.280309266319335
"2","D29","Winter_Concentration",82729.2858584136,57718.2394301204,0.302323973533365
"3","D29","Winter_Range",295912.860372596,200705.06731592,0.321742667543397
"4","D30","Servere_Winter",237642.822442188,39642.987431449,0.833182475178298
"5","D30","Winter_Concentration",173958.293461953,85562.9827321973,0.508140824852878
"6","D30","Winter_Range",631273.992849484,328385.457928329,0.47980518499417
"7","D52","Servere_Winter",27265.0252889864,19630.6198229783,0.280007276174875
"8","D52","Winter_Concentration",89422.7414082331,71667.8865571069,0.198549659421328
"9","D52","Winter_Range",330555.801431996,207228.489457453,0.373090750306844
"10","E24","Servere_Winter",664835.683003836,558781.702726922,0.159519085675042
"11","E24","Winter_Concentration",305701.910238046,244069.195784068,0.201610498298769
"12","E24","Winter_Range",1551015.80568769,1292801.09276415,0.166481032608854
"13","E30","Servere_Winter",112299.904712377,49309.2326754064,0.560914741631371
"14","E30","Winter_Concentration",63891.2754769018,53584.7375340728,0.161313698402453
"15","E30","Winter_Range",420788.053599814,283794.775398567,0.325563611013379
"16","E31","Servere_Winter",326351.622447137,109380.932561994,0.664837172428301
"17","E31","Winter_Concentration",508144.931540976,323256.164722567,0.363850459469751
"18","E31","Winter_Range",939123.88311614,553771.911187647,0.410331351226894
